epoch,train_loss,train_accuracy,test_loss,test_accuracy,epoch_seconds
1,0.35695342677116393,0.88122,0.21472935678958893,0.9287,106.71878361701965
2,0.16927969789981842,0.94338,0.1676822449684143,0.9423,106.55414986610413
3,0.12044115584373474,0.95874,0.16849550887942313,0.9454,107.62982702255249
4,0.09991461313009262,0.96648,0.17462484250068663,0.9426,109.23687887191772
5,0.08119987483203411,0.97246,0.16264488306641578,0.9459,109.57821679115295
6,0.06742769340515137,0.97744,0.1702313647031784,0.9484,110.4005012512207
7,0.05991163985311985,0.97982,0.1823826409816742,0.9449,109.43705177307129
8,0.05686189968749881,0.9806,0.18292801580131055,0.9462,109.34449744224548
9,0.04995613632977009,0.98322,0.20667011396884918,0.9413,109.57027387619019
10,0.04517970102518797,0.98486,0.18716839920282363,0.9489,109.24818444252014
